Dimension,PopulationSize,Generations,EngineType,Complexity,Best result,Mean best result,Mean first achieved iter,Mean finished eval at,Mean eval ime
2,100,1000,SingleThreaded,1,8.735613116082014,8.04,0.0,1000.0,79.5
2,100,1000,SingleThreaded,2,8.735613116082014,8.04,0.0,1000.0,90.5
2,100,1000,SingleThreaded,3,8.735613116082014,8.04,0.0,1000.0,98.7
2,100,1000,SingleThreaded,4,8.735613116082014,8.04,0.0,1000.0,107.2
2,100,1000,SingleThreaded,5,8.735613116082014,8.04,0.0,1000.0,117.5
2,100,1000,MasterSlave,0,0.0,0.0,0.0,1000.0,77.7
2,100,1000,MasterSlave,1,8.735613116082014,8.04,0.0,1000.0,114.5
2,100,1000,MasterSlave,2,8.735613116082014,8.04,0.0,1000.0,121.2
2,100,1000,MasterSlave,3,8.735613116082014,8.04,0.0,1000.0,123.6
2,100,1000,MasterSlave,4,8.735613116082014,8.04,0.0,1000.0,130.0
2,100,1000,MasterSlave,5,8.735613116082014,8.04,0.0,1000.0,130.2
2,100,1000,Islands(2),0,0.0,0.0,0.0,9.0,234.7
2,100,1000,Islands(2),1,9.998282033812346,9.99,0.0,9.0,221.8
2,100,1000,Islands(2),2,9.998920228882088,9.99,0.0,9.0,214.1
2,100,1000,Islands(2),3,9.999446372824261,9.99,0.0,9.0,234.3
2,100,1000,Islands(2),4,9.996431745364596,9.99,0.0,9.0,218.6
2,100,1000,Islands(2),5,9.997612271780888,9.99,0.0,9.0,207.9
2,100,1000,Islands(8),0,0.0,0.0,0.0,9.0,2327.5
2,100,1000,Islands(8),1,9.999527914129494,10.0,0.0,9.0,2580.6
2,100,1000,Islands(8),2,9.99909032291452,10.0,0.0,9.0,2353.3
2,100,1000,Islands(8),3,9.999714758578232,10.0,0.0,9.0,2549.3
2,100,1000,Islands(8),4,9.998899974236782,10.0,0.0,9.0,2440.4
2,100,1000,Islands(8),5,9.999353576906636,10.0,0.0,9.0,2374.9
5,10,100,SingleThreaded,0,0.0,0.0,0.0,100.0,0.0
5,10,100,SingleThreaded,1,6.76777144687577,5.16,0.0,100.0,0.0
5,10,100,SingleThreaded,2,6.76777144687577,5.16,0.0,100.0,1.0
5,10,100,SingleThreaded,3,6.76777144687577,5.16,0.0,100.0,1.0
5,10,100,SingleThreaded,4,6.76777144687577,5.16,0.0,100.0,1.0
5,10,100,SingleThreaded,5,6.76777144687577,5.16,0.0,100.0,2.0
5,10,100,MasterSlave,0,0.0,0.0,0.0,100.0,2.1
5,10,100,MasterSlave,1,6.76777144687577,5.16,0.0,100.0,2.5
5,10,100,MasterSlave,2,6.76777144687577,5.16,0.0,100.0,2.3
5,10,100,MasterSlave,3,6.76777144687577,5.16,0.0,100.0,3.0
5,10,100,MasterSlave,4,6.76777144687577,5.16,0.0,100.0,3.0
5,10,100,MasterSlave,5,6.76777144687577,5.16,0.0,100.0,6.7
5,10,100,Islands(2),0,0.0,0.0,0.0,0.0,2.0
5,10,100,Islands(2),1,9.86758865314724,9.48,0.0,0.0,2.6
5,10,100,Islands(2),2,9.604835776084663,9.42,0.0,0.0,2.1
5,10,100,Islands(2),3,9.781488747539253,9.31,0.0,0.0,1.8
5,10,100,Islands(2),4,9.844857218871203,9.62,0.0,0.0,2.8
5,10,100,Islands(2),5,9.716654693515977,9.15,0.0,0.0,2.5
5,10,100,Islands(8),0,0.0,0.0,0.0,0.0,21.1
5,10,100,Islands(8),1,9.920376110964678,9.74,0.0,0.0,20.9
5,10,100,Islands(8),2,9.893174626017286,9.76,0.0,0.0,20.3
5,10,100,Islands(8),3,9.903711445388867,9.69,0.0,0.0,19.9
5,10,100,Islands(8),4,9.902952169613478,9.7,0.0,0.0,22.4
5,10,100,Islands(8),5,9.850779641983918,9.66,0.0,0.0,22.1
5,10,200,SingleThreaded,0,0.0,0.0,0.0,200.0,1.0
5,10,200,SingleThreaded,1,6.76777144687577,5.16,0.0,200.0,1.0
5,10,200,SingleThreaded,2,6.76777144687577,5.16,0.0,200.0,2.0
5,10,200,SingleThreaded,3,6.76777144687577,5.16,0.0,200.0,2.2
5,10,200,SingleThreaded,4,6.76777144687577,5.16,0.0,200.0,3.0
5,10,200,SingleThreaded,5,6.76777144687577,5.16,0.0,200.0,4.0
5,10,200,MasterSlave,0,0.0,0.0,0.0,200.0,7.4
5,10,200,MasterSlave,1,6.76777144687577,5.16,0.0,200.0,5.1
5,10,200,MasterSlave,2,6.76777144687577,5.16,0.0,200.0,5.1
5,10,200,MasterSlave,3,6.76777144687577,5.16,0.0,200.0,6.0
5,10,200,MasterSlave,4,6.76777144687577,5.16,0.0,200.0,6.4
5,10,200,MasterSlave,5,6.76777144687577,5.16,0.0,200.0,6.6
